City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Hermanus,ZA,51.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Klaksvik,FO,52.72,broken clouds,62.2266,-6.589,Airbnb rooms
6,Megion,RU,62.62,clear sky,61.0296,76.1136,Komfort Hotel
7,Diego De Almagro,CL,61.95,clear sky,-26.3667,-70.05,hotel luna del desierto
8,Srisailam,IN,71.58,overcast clouds,16.0833,78.8667,Vasavi Satram
9,Rikitea,PF,72.54,light rain,-23.1203,-134.9692,People ThankYou
10,Mabai,CN,62.65,scattered clouds,23.0128,104.4508,Yingpan Hostel
17,Castro,BR,69.4,clear sky,-24.7911,-50.0119,CHACARA BAILLY
25,Chumikan,RU,51.13,overcast clouds,54.7183,135.315,Fortuna
27,Nakamura,JP,72.84,scattered clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
30,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
31,Bonavista,CA,61.09,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
32,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Strelka,RU,61.9,clear sky,58.0728,93.0344,"Gostinitsa ""Angara"""
35,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
41,Saldanha,ZA,56.44,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
42,Cape Town,ZA,55.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
43,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
47,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
48,Bintulu,MY,72.01,scattered clouds,3.1667,113.0333,900 Boutique INN
50,Kenai,US,60.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
53,Nabire,ID,74.75,broken clouds,-3.3667,135.4833,Hotel Nusantara I
55,Zhezkazgan,KZ,64.38,clear sky,47.8043,67.7144,Hotel Zumrat
57,Busselton,AU,54.97,overcast clouds,-33.65,115.3333,Observatory Guest House
60,Byron Bay,AU,51.94,overcast clouds,-28.65,153.6167,Backpackers Inn
61,Arkhara,RU,59.85,overcast clouds,49.4212,130.0842,"Gostinitsa ""Arkhara"""
63,Shingu,JP,74.43,few clouds,33.7333,135.9833,Shingu UI Hotel
64,Osakarovka,KZ,61.41,overcast clouds,50.565,72.5692,Motel' Osakarovka
65,Saint-Philippe,RE,63.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Yar-Sale,RU,52.61,scattered clouds,66.8333,70.8333,Yalemd
70,Mandalgovi,MN,64.33,overcast clouds,45.7625,106.2708,В.Ганбат
72,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
74,El Uvito,CO,65.16,light rain,7.2429,-72.6294,"Cabaña ""El Mirador"""
75,Kruisfontein,ZA,51.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
77,Disna,BY,57.45,overcast clouds,55.568,28.1971,
78,Lagoa,PT,68.32,clear sky,39.05,-27.9833,Casa Das Faias
80,Fortuna,US,70.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
83,Chokurdakh,RU,60.26,overcast clouds,70.6333,147.9167,
84,Yellowknife,CA,69.35,light rain,62.456,-114.3525,The Explorer Hotel
85,Xam Nua,LA,67.44,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
88,Kachug,RU,54.25,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
89,Ondjiva,AO,62.29,clear sky,-17.0667,15.7333,COMBUESA
93,Barra Velha,BR,73.29,overcast clouds,-26.6322,-48.6847,Vila Alaíde Praia Hotel
95,Clyde River,CA,50.23,overcast clouds,70.4692,-68.5914,Qamaq Hotel
98,Lebu,CL,50.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
99,Mar Del Plata,AR,58.08,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
103,Port Alfred,ZA,60.62,light rain,-33.5906,26.891,The Halyards Hotel
104,Shimoda,JP,73.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
108,Narsaq,GL,59.22,clear sky,60.9167,-46.05,Sleep In Narsaq
110,Norman Wells,CA,73.44,smoke,65.282,-126.8329,Heritage Hotel
112,Bredasdorp,ZA,50.9,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
114,Barrow,US,60.82,clear sky,71.2906,-156.7887,King Eider Inn
115,Bengkulu,ID,74.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Constitucion,CL,53.69,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
120,Tasiilaq,GL,50.16,scattered clouds,65.6145,-37.6368,The Red House
122,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
124,Tuktoyaktuk,CA,50.0,mist,69.4541,-133.0374,End of The Road Ltd.
125,Port Elizabeth,ZA,54.1,clear sky,-33.918,25.5701,39 On Nile Guest House
127,Junin,AR,68.34,clear sky,-34.5838,-60.9433,Hotel Copahue
129,Llanes,ES,70.9,clear sky,43.4198,-4.7549,Hotel La Paz
