City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Iaciara,-14.0958,-46.6317,62.55,59,0,2.91,clear sky
1,Arnedo,42.2167,-2.1,58.5,53,0,12.01,clear sky
2,Ribeira Grande,38.5167,-28.7,64.8,88,40,10.36,light intensity shower rain
3,Solnechnyy,50.7214,136.6319,87.58,50,98,9.1,overcast clouds
4,Bluff,-46.6,168.3333,47.8,90,100,18.95,light rain
5,Khatanga,71.9667,102.5,58.51,29,95,8.57,overcast clouds
6,Fort Collins,40.5853,-105.0844,66.81,72,73,4.0,broken clouds
7,Binghamton,42.0987,-75.918,69.91,81,75,5.75,broken clouds
8,Albany,42.6001,-73.9662,68.68,82,73,1.88,broken clouds
9,Ushuaia,-54.8,-68.3,28.06,80,0,9.22,clear sky
10,Kenai,60.5544,-151.2583,60.89,71,100,8.05,overcast clouds
11,Beringovskiy,63.05,179.3167,49.28,88,44,10.04,scattered clouds
12,Hermanus,-34.4187,19.2345,51.8,83,100,8.16,overcast clouds
13,Hobart,-42.8794,147.3294,50.25,84,75,14.97,light intensity shower rain
14,Lompoc,34.6391,-120.4579,58.51,88,100,8.01,overcast clouds
15,Henties Bay,-22.116,14.2845,68.58,45,0,9.4,clear sky
16,Punta Arenas,-53.15,-70.9167,32.85,72,100,7.38,overcast clouds
17,Tiruchchirappalli,10.8167,78.6833,93.31,43,75,17.27,broken clouds
18,Mataura,-46.1927,168.8643,47.48,96,100,8.41,moderate rain
19,Viedma,-40.8135,-62.9967,41.94,50,46,10.76,scattered clouds
20,Deputatskiy,69.3,139.9,44.42,98,100,4.16,light rain
21,Narsaq,60.9167,-46.05,43.02,80,87,2.98,overcast clouds
22,Ilulissat,69.2167,-51.1,44.62,87,100,3.44,overcast clouds
23,Mar Del Plata,-38.0023,-57.5575,42.87,60,10,3.0,clear sky
24,Axim,4.8699,-2.2405,75.97,87,100,8.61,light rain
25,Bousso,10.4795,16.7117,78.1,75,97,8.52,overcast clouds
26,Urumqi,43.801,87.6005,79.75,30,0,4.47,clear sky
27,Seoul,37.5683,126.9778,83.59,74,100,8.05,overcast clouds
28,Tarrafal,15.2833,-23.7667,75.99,84,78,10.11,broken clouds
29,Hinton,53.4001,-117.5857,52.99,83,98,3.51,overcast clouds
30,Saint-Philippe,-21.3585,55.7679,72.99,67,31,15.61,scattered clouds
31,Barrow,71.2906,-156.7887,39.22,93,100,11.5,overcast clouds
32,Faanui,-16.4833,-151.75,78.4,72,1,7.11,clear sky
33,Avarua,-21.2078,-159.775,69.85,64,0,3.44,clear sky
34,Butaritari,3.0707,172.7902,81.61,79,92,12.37,light rain
35,Fortuna,40.5982,-124.1573,59.67,91,100,3.2,overcast clouds
36,Vardo,70.3705,31.1107,51.78,93,100,10.36,moderate rain
37,Clyde River,70.4692,-68.5914,34.03,93,100,5.75,overcast clouds
38,Busselton,-33.65,115.3333,66.79,69,91,17.22,overcast clouds
39,Faya,18.3851,42.4509,77.52,23,91,9.37,overcast clouds
40,Mushie,-3.0167,16.9,78.76,52,74,5.26,broken clouds
41,Mahibadhoo,3.7833,72.9667,83.16,76,100,14.72,overcast clouds
42,Vaitape,-16.5167,-151.75,78.37,72,0,6.85,clear sky
43,Abancay,-13.6339,-72.8814,54.77,86,90,2.3,overcast clouds
44,Cururupu,-1.8283,-44.8683,73.54,94,99,5.99,overcast clouds
45,Longyearbyen,78.2186,15.6401,51.64,54,20,17.27,few clouds
46,Mongo,12.1844,18.693,79.09,66,100,15.75,overcast clouds
47,Tuktoyaktuk,69.4541,-133.0374,59.31,62,11,15.66,few clouds
48,Kloulklubed,7.0419,134.2556,79.3,92,100,13.85,moderate rain
49,Rikitea,-23.1203,-134.9692,74.91,75,0,19.62,clear sky
50,East London,-33.0153,27.9116,54.54,82,0,8.05,clear sky
51,Ipixuna,-1.7625,-48.8043,72.46,98,73,4.43,moderate rain
52,Qaanaaq,77.484,-69.3632,39.63,80,8,2.15,clear sky
53,Touros,-5.1989,-35.4608,72.37,93,97,10.27,overcast clouds
54,Adrar,20.5022,-10.0711,89.13,33,6,11.9,clear sky
55,La Orilla,17.9833,-102.2333,77.68,87,100,4.07,overcast clouds
56,Dingle,10.9995,122.6711,83.41,82,94,10.13,light rain
57,Firminy,45.3873,4.2907,58.03,77,100,9.22,overcast clouds
58,Lieksa,63.3167,30.0167,59.11,68,70,12.88,broken clouds
59,Airai,-8.9266,125.4092,62.92,87,93,2.68,overcast clouds
60,Husavik,66.0449,-17.3389,44.73,97,100,13.82,overcast clouds
61,Kapaa,22.0752,-159.319,78.78,84,100,17.27,overcast clouds
62,Hofn,64.2539,-15.2082,51.67,73,10,10.78,clear sky
63,Arraial Do Cabo,-22.9661,-42.0278,68.97,89,19,17.4,few clouds
64,Hilo,19.7297,-155.09,74.93,92,75,1.01,light rain
65,Jamestown,42.097,-79.2353,64.04,81,0,5.75,clear sky
66,Atasu,48.6814,71.6433,71.53,40,94,3.96,overcast clouds
67,Cherskiy,68.75,161.3,72.21,53,96,15.1,overcast clouds
68,Carnarvon,-24.8667,113.6333,75.33,20,0,3.13,clear sky
69,Pevek,69.7008,170.3133,51.94,65,99,7.2,overcast clouds
70,Ternate,0.8,127.4,82.18,74,94,5.01,moderate rain
71,Cockburn Town,21.4612,-71.1419,81.7,77,2,19.62,clear sky
72,Aykhal,66.0,111.5,42.24,93,100,18.28,light rain
73,Vaini,-21.2,-175.2,71.76,78,20,5.75,few clouds
74,Abong Mbang,3.9833,13.1833,70.45,93,39,2.01,scattered clouds
75,Mahebourg,-20.4081,57.7,74.25,56,40,12.66,scattered clouds
76,Cheremukhovo,60.3484,59.9851,85.86,36,75,2.91,broken clouds
77,Richards Bay,-28.783,32.0377,67.33,74,0,6.11,clear sky
78,Port Alfred,-33.5906,26.891,62.04,49,5,6.53,clear sky
79,Hambantota,6.1241,81.1185,91.74,55,40,19.57,scattered clouds
80,Jinchang,38.4953,102.1739,88.63,19,100,10.42,overcast clouds
81,Provideniya,64.3833,-173.3,51.12,86,100,4.74,overcast clouds
82,Gao,16.6362,1.637,90.34,20,3,1.5,clear sky
83,Mount Gambier,-37.8333,140.7667,50.22,58,85,9.71,overcast clouds
84,Beira,-19.8436,34.8389,68.09,94,20,4.61,few clouds
85,Tahta,26.7693,31.5021,87.73,31,6,12.3,clear sky
86,Ponta Do Sol,32.6667,-17.1,68.72,69,1,3.76,clear sky
87,Xapuri,-10.6517,-68.5044,73.31,82,5,1.1,clear sky
88,Stokmarknes,68.5646,14.9108,51.78,76,75,11.5,broken clouds
89,Leningradskiy,69.3833,178.4167,41.92,78,91,13.51,overcast clouds
90,New Norfolk,-42.7826,147.0587,49.91,80,100,3.0,light rain
91,Saskylakh,71.9167,114.0833,57.83,33,7,9.71,clear sky
92,Kavaratti,10.5669,72.642,81.52,81,100,16.67,overcast clouds
93,Half Moon Bay,37.4636,-122.4286,63.32,82,0,10.36,clear sky
94,Tiksi,71.6872,128.8694,41.52,59,100,5.1,overcast clouds
95,Castro,-24.7911,-50.0119,55.67,69,100,2.1,overcast clouds
96,Quatre Cocos,-20.2078,57.7625,74.08,57,44,20.2,scattered clouds
97,Balkanabat,39.5108,54.3671,91.85,17,7,20.27,clear sky
98,Coahuayana,18.7333,-103.6833,76.62,93,100,1.88,overcast clouds
99,Alyangula,-13.8483,136.4192,72.28,64,68,14.97,broken clouds
100,Eyl,7.9803,49.8164,85.6,47,100,33.26,overcast clouds
101,Kasulu,-4.5767,30.1025,68.09,42,26,10.56,scattered clouds
